,Game,Week,Road Closing Spread,Home Closing Spread
86,CIN 23 @ BAL 16,1,2.5,-2.5
87,BUF 23 @ CHI 20,1,7,-7
88,WAS 6 @ HOU 17,1,3,-3
89,TEN 26 @ KC 10,1,3,-3
90,NE 20 @ MIA 33,1,-3.5,3.5
91,CAR 20 @ TB 14,1,5.5,-5.5
92,SF 28 @ DAL 17,1,-3.5,3.5
93,IND 24 @ DEN 31,1,8,-8
94,NYG 14 @ DET 35,1,6.5,-6.5
95,SD 17 @ ARI 18,1,3,-3
96,BAL 27 @ DEN 49,1,7.5,-7.5
97,NE 23 @ BUF 21,1,-10,10
98,TEN 16 @ PIT 9,1,6,-6
99,TB 17 @ NYJ 18,1,-4,4
100,ATL 17 @ NO 23,1,3.5,-3.5
101,KC 28 @ JAC 2,1,-3.5,3.5
102,SEA 12 @ CAR 7,1,-3,3
103,CIN 21 @ CHI 24,1,3,-3
104,MIA 23 @ CLE 10,1,2.5,-2.5
105,MIN 24 @ DET 34,1,4,-4
106,OAK 17 @ IND 21,1,11,-11
107,ARI 24 @ STL 27,1,3.5,-3.5
108,GB 28 @ SF 34,1,5,-5
109,NYG 31 @ DAL 36,1,3.5,-3.5
110,PHI 33 @ WAS 27,1,4,-4
111,HOU 31 @ SD 28,1,-5,5
112,DAL 24 @ NYG 17,1,3.5,-3.5
113,IND 21 @ CHI 41,1,10,-10
114,NE 34 @ TEN 13,1,-5,5
115,BUF 28 @ NYJ 48,1,3,-3
116,WAS 40 @ NO 32,1,8.5,-8.5
117,JAC 23 @ MIN 26,1,3.5,-3.5
118,ATL 40 @ KC 24,1,-2.5,2.5
119,PHI 17 @ CLE 16,1,-8.5,8.5
120,STL 23 @ DET 27,1,9,-9
121,MIA 10 @ HOU 30,1,13,-13
122,SF 30 @ GB 22,1,6,-6
123,SEA 16 @ ARI 20,1,-2.5,2.5
124,CAR 10 @ TB 16,1,-3,3
125,PIT 19 @ DEN 31,1,2.5,-2.5
126,CIN 13 @ BAL 44,1,7,-7
127,SD 22 @ OAK 14,1,1,-1
128,NO 34 @ GB 42,1,5,-5
129,PIT 7 @ BAL 35,1,1,-1
130,DET 27 @ TB 20,1,1,-1
131,ATL 12 @ CHI 30,1,-2,2
132,BUF 41 @ KC 7,1,4,-4
133,IND 7 @ HOU 34,1,9,-9
134,PHI 31 @ STL 13,1,-4,4
135,CIN 27 @ CLE 17,1,7,-7
136,TEN 14 @ JAC 16,1,-1,1
137,NYG 14 @ WAS 28,1,-1,1
138,CAR 21 @ ARI 28,1,7,-7
139,SEA 17 @ SF 33,1,6,-6
140,MIN 17 @ SD 24,1,9,-9
141,DAL 24 @ NYJ 27,1,6,-6
142,NE 38 @ MIA 24,1,-7,7
143,OAK 23 @ DEN 20,1,3,-3
144,MIN 9 @ NO 14,1,5,-5
145,CAR 18 @ NYG 31,1,6,-6
146,MIA 15 @ BUF 10,1,-3,3
147,ATL 9 @ PIT 15,1,-1,1
148,DET 14 @ CHI 19,1,7,-7
149,CIN 24 @ NE 38,1,5,-5
150,CLE 14 @ TB 17,1,3,-3
151,DEN 17 @ JAC 24,1,3,-3
152,IND 24 @ HOU 34,1,-2,2
153,OAK 13 @ TEN 38,1,7,-7
154,GB 27 @ PHI 20,1,-3,3
155,SF 6 @ SEA 31,1,-3,3
156,ARI 17 @ STL 13,1,-3,3
157,DAL 7 @ WAS 13,1,-4,4
158,BAL 10 @ NYJ 9,1,2,-2
159,SD 14 @ KC 21,1,-4,4
160,TEN 10 @ PIT 13,1,6,-6
161,MIA 7 @ ATL 19,1,4,-4
162,KC 24 @ BAL 38,1,13,-13
163,PHI 38 @ CAR 10,1,-3,3
164,DEN 12 @ CIN 7,1,5,-5
165,MIN 34 @ CLE 20,1,-4,4
166,NYJ 24 @ HOU 7,1,5,-5
167,JAC 12 @ IND 14,1,6,-6
168,DET 27 @ NO 45,1,14,-14
169,DAL 34 @ TB 21,1,-6,6
170,SF 20 @ ARI 16,1,5,-5
171,WAS 17 @ NYG 23,1,6,-6
172,STL 0 @ SEA 28,1,7,-7
173,CHI 15 @ GB 21,1,5,-5
174,BUF 24 @ NE 25,1,13,-13
175,SD 24 @ OAK 20,1,-10,10
176,WAS 7 @ NYG 16,1,5,-5
177,CIN 10 @ BAL 17,1,-2,2
178,NYJ 20 @ MIA 14,1,-3,3
179,KC 10 @ NE 17,1,17,-17
180,HOU 17 @ PIT 38,1,6,-6
181,JAC 10 @ TEN 17,1,-3,3
182,DET 21 @ ATL 34,1,-3,3
183,SEA 10 @ BUF 34,1,3,-3
184,TB 20 @ NO 24,1,3,-3
185,STL 3 @ PHI 38,1,9,-9
186,DAL 28 @ CLE 10,1,-6,6
187,CAR 26 @ SD 24,1,9,-9
188,ARI 23 @ SF 13,1,-3,3
189,CHI 29 @ IND 13,1,11,-11
190,MIN 19 @ GB 24,1,2,-2
191,DEN 41 @ OAK 14,1,-3,3
192,NO 10 @ IND 41,1,6,-6
193,KC 3 @ HOU 20,1,3,-3
194,DEN 15 @ BUF 14,1,-3,3
195,PIT 34 @ CLE 7,1,-5,5
196,TEN 13 @ JAC 10,1,8,-8
197,CAR 27 @ STL 13,1,2,-2
198,PHI 13 @ GB 16,1,-3,3
199,ATL 3 @ MIN 24,1,3,-3
200,MIA 13 @ WAS 16,1,3,-3
201,NE 38 @ NYJ 14,1,-7,7
202,TB 6 @ SEA 20,1,6,-6
203,CHI 3 @ SD 14,1,7,-7
204,DET 36 @ OAK 21,1,3,-3
205,NYG 35 @ DAL 45,1,6,-6
206,BAL 20 @ CIN 27,1,3,-3
207,ARI 17 @ SF 20,1,4,-4
208,TB 20 @ CAR 14,2,6.5,-6.5
209,ARI 17 @ BAL 23,2,13,-13
210,BUF 28 @ NYG 14,2,-1,1
211,DAL 31 @ WAS 21,2,-6,6
212,IND 19 @ TEN 17,2,3,-3
213,JAC 12 @ HOU 13,2,7.5,-7.5
214,LAC 10 @ DET 13,2,-1,1
215,MIN 16 @ GB 21,2,3,-3
216,NE 43 @ MIA 0,2,-18,18
217,SF 41 @ CIN 17,2,1,-1
218,SEA 28 @ PIT 26,2,4,-4
219,KC 28 @ OAK 10,2,-7,7
220,CHI 16 @ DEN 14,2,-3,3
221,NO 9 @ LAR 27,2,2,-2
222,PHI 20 @ ATL 24,2,-1,1
223,CLE 23 @ NYJ 3,2,-6.5,6.5
224,BAL 23 @ CIN 34,2,1,-1
225,CAR 24 @ ATL 31,2,5.5,-5.5
226,CLE 18 @ NO 21,2,10,-10
227,HOU 17 @ TEN 20,2,-3.5,3.5
228,IND 21 @ WAS 9,2,6,-6
229,KC 42 @ PIT 37,2,4.5,-4.5
230,LAC 31 @ BUF 20,2,-7.5,7.5
231,MIA 20 @ NYJ 12,2,3,-3
232,MIN 29 @ GB 29,2,-2,2
233,PHI 21 @ TB 27,2,-3,3
234,ARI 0 @ LAR 34,2,13.5,-13.5
235,DET 27 @ SF 30,2,6,-6
236,OAK 19 @ DEN 20,2,5.5,-5.5
237,NE 20 @ JAC 31,2,-2,2
238,NYG 13 @ DAL 20,2,3,-3
239,SEA 17 @ CHI 24,2,5,-5
240,HOU 13 @ CIN 9,2,5.5,-5.5
241,MIN 9 @ PIT 26,2,8.5,-8.5
242,CLE 10 @ BAL 24,2,7.5,-7.5
243,CHI 7 @ TB 29,2,7,-7
244,BUF 3 @ CAR 9,2,6.5,-6.5
245,ARI 16 @ IND 13,2,-7,7
246,TEN 37 @ JAC 16,2,-1,1
247,PHI 20 @ KC 27,2,4,-4
248,NE 36 @ NO 20,2,-5.5,5.5
249,NYJ 20 @ OAK 45,2,14,-14
250,MIA 19 @ LAC 17,2,3.5,-3.5
251,DAL 17 @ DEN 42,2,-2.5,2.5
252,WAS 27 @ LAR 20,2,3,-3
253,SF 9 @ SEA 12,2,13.5,-13.5
254,GB 23 @ ATL 34,2,3.5,-3.5
255,DET 24 @ NYG 10,2,3,-3
256,NYJ 37 @ BUF 31,2,1.5,-1.5
257,NO 13 @ NYG 16,2,3.5,-3.5
258,KC 12 @ HOU 19,2,-1,1
259,CIN 16 @ PIT 24,2,3,-3
260,DAL 27 @ WAS 23,2,3.5,-3.5
261,MIA 24 @ NE 31,2,5.5,-5.5
262,TEN 16 @ DET 15,2,6,-6
263,BAL 25 @ CLE 20,2,-4,4
264,SF 27 @ CAR 46,2,12,-12
265,TB 7 @ ARI 40,2,7.5,-7.5
266,SEA 3 @ LA 9,2,-5.5,5.5
267,IND 20 @ DEN 34,2,5,-5
268,JAC 14 @ SD 38,2,3,-3
269,ATL 35 @ OAK 28,2,4,-4
270,GB 14 @ MIN 17,2,-1.5,1.5
271,PHI 29 @ CHI 14,2,3,-3
272,DEN 31 @ KC 24,2,3,-3
273,DET 16 @ MIN 26,2,2.5,-2.5
274,ARI 48 @ CHI 23,2,-2,2
275,TEN 14 @ CLE 28,2,1,-1
276,NE 40 @ BUF 32,2,2,-2
277,HOU 17 @ CAR 24,2,3,-3
278,SF 18 @ PIT 43,2,6,-6
279,SD 19 @ CIN 24,2,3.5,-3.5
280,STL 10 @ WAS 24,2,-3,3
281,ATL 24 @ NYG 20,2,2,-2
282,TB 26 @ NO 19,2,9.5,-9.5
283,BAL 33 @ OAK 37,2,-6,6
284,MIA 20 @ JAC 23,2,-5,5
285,DAL 20 @ PHI 10,2,7,-7
286,SEA 17 @ GB 27,2,3.5,-3.5
287,NYJ 20 @ IND 7,2,6,-6
288,PIT 6 @ BAL 26,2,2.5,-2.5
289,MIA 10 @ BUF 29,2,1,-1
290,JAC 10 @ WAS 41,2,5,-5
291,DAL 26 @ TEN 10,2,3,-3
292,ARI 25 @ NYG 14,2,1,-1
293,NE 30 @ MIN 7,2,-3.5,3.5
294,NO 24 @ CLE 26,2,-4.5,4.5
295,ATL 10 @ CIN 24,2,5.5,-5.5
296,DET 7 @ CAR 24,2,1,-1
297,STL 19 @ TB 17,2,4,-4
298,SEA 21 @ SD 30,2,-4.5,4.5
299,HOU 30 @ OAK 14,2,-3,3
300,NYJ 24 @ GB 31,2,7,-7
301,KC 17 @ DEN 24,2,13,-13
302,CHI 28 @ SF 20,2,7,-7
303,PHI 30 @ IND 27,2,3,-3
304,NYJ 10 @ NE 13,2,10.5,-10.5
305,STL 24 @ ATL 31,2,4,-4
306,SD 33 @ PHI 30,2,7.5,-7.5
307,DAL 16 @ KC 17,2,3,-3
308,MIA 24 @ IND 20,2,1,-1
309,TEN 24 @ HOU 30,2,7.5,-7.5
310,WAS 20 @ GB 38,2,9,-9
311,CLE 6 @ BAL 14,2,5.5,-5.5
312,CAR 23 @ BUF 24,2,-3.5,3.5
313,MIN 30 @ CHI 31,2,6,-6
314,NO 16 @ TB 14,2,-3,3
315,DET 21 @ ARI 25,2,-1,1
316,JAC 9 @ OAK 19,2,3.5,-3.5
317,DEN 41 @ NYG 23,2,-3.5,3.5
318,SF 3 @ SEA 29,2,3,-3
319,PIT 10 @ CIN 20,2,7,-7
320,CHI 10 @ GB 23,2,5,-5
321,KC 17 @ BUF 35,2,3,-3
322,BAL 23 @ PHI 24,2,3,-3
323,TB 34 @ NYG 41,2,9,-9
324,ARI 20 @ NE 18,2,13,-13
325,HOU 27 @ JAC 7,2,-6.5,6.5
326,MIN 20 @ IND 23,2,-3,3
327,CLE 27 @ CIN 34,2,7,-7
328,NO 27 @ CAR 35,2,-3,3
329,OAK 13 @ MIA 35,2,-1,1
330,WAS 28 @ STL 31,2,-3.5,3.5
331,DAL 7 @ SEA 27,2,-3,3
332,TEN 10 @ SD 38,2,6.5,-6.5
333,NYJ 10 @ PIT 27,2,4.5,-4.5
334,DET 19 @ SF 27,2,7,-7
335,DEN 21 @ ATL 27,2,3,-3
336,CHI 13 @ NO 30,2,5,-5
337,KC 3 @ DET 48,2,8,-8
338,JAC 3 @ NYJ 32,2,9,-9
339,OAK 35 @ BUF 38,2,4,-4
340,ARI 21 @ WAS 22,2,5,-5
341,BAL 13 @ TEN 26,2,-6,6
342,SEA 0 @ PIT 24,2,14,-14
343,GB 30 @ CAR 23,2,-11,11
344,TB 24 @ MIN 20,2,0,0
345,CLE 27 @ IND 19,2,-2,2
346,DAL 27 @ SF 24,2,-3,3
347,HOU 23 @ MIA 13,2,-3,3
348,SD 21 @ NE 35,2,6,-6
349,CIN 22 @ DEN 24,2,3,-3
350,PHI 31 @ ATL 35,2,-3,3
351,STL 16 @ NYG 28,2,7,-7
352,KC 16 @ CLE 14,2,3,-3
353,BUF 7 @ GB 34,2,13,-13
354,BAL 10 @ CIN 15,2,-3,3
355,PIT 19 @ TEN 11,2,6,-6
356,PHI 35 @ DET 32,2,-7,7
357,CHI 27 @ DAL 20,2,7,-7
358,TB 20 @ CAR 7,2,4,-4
359,ARI 7 @ ATL 41,2,7,-7
360,MIA 14 @ MIN 10,2,6,-6
361,STL 14 @ OAK 16,2,3,-3
362,SEA 14 @ DEN 31,2,3,-3
363,HOU 30 @ WAS 27,2,-3,3
364,JAC 13 @ SD 38,2,7,-7
365,NE 14 @ NYJ 28,2,-3,3
366,NYG 14 @ IND 38,2,4,-4
367,NO 25 @ SF 22,2,-5,5
368,OAK 13 @ KC 10,2,3,-3
369,HOU 34 @ TEN 31,2,7,-7
370,NE 9 @ NYJ 16,2,-3,3
371,CIN 31 @ GB 24,2,10,-10
372,MIN 27 @ DET 13,2,-10,10
373,NO 48 @ PHI 22,2,0,0
374,CAR 20 @ ATL 28,2,6,-6
375,STL 7 @ WAS 9,2,10,-10
376,ARI 31 @ JAC 17,2,3,-3
377,SEA 10 @ SF 23,2,2,-2
378,TB 20 @ BUF 33,2,6,-6
379,CLE 6 @ DEN 27,2,3,-3
380,BAL 31 @ SD 26,2,3,-3
381,PIT 14 @ CHI 17,2,-3,3
382,NYG 33 @ DAL 31,2,3,-3
383,IND 27 @ MIA 23,2,-3,3
384,OAK 23 @ KC 8,2,3,-3
385,TEN 24 @ CIN 7,2,-1,1
386,IND 18 @ MIN 15,2,0,0
387,NO 24 @ WAS 29,2,0,0
388,GB 48 @ DET 25,2,-3,3
389,CHI 17 @ CAR 20,2,3,-3
390,NYG 41 @ STL 13,2,-8,8
391,BUF 20 @ JAC 16,2,4,-4
392,ATL 9 @ TB 24,2,7,-7
393,SF 33 @ SEA 30,2,6,-6
394,MIA 10 @ ARI 31,2,6,-6
395,NE 19 @ NYJ 10,2,-1,1
396,SD 38 @ DEN 39,2,2,-2
397,PIT 10 @ CLE 6,2,-6,6
398,PHI 37 @ DAL 41,2,7,-7
399,BUF 3 @ PIT 26,2,10,-10
400,CIN 45 @ CLE 51,2,-7,7
401,IND 22 @ TEN 20,2,-7,7
402,HOU 34 @ CAR 21,2,7,-7
403,SF 17 @ STL 16,2,3,-3
404,GB 35 @ NYG 13,2,3,-3
405,ATL 7 @ JAC 13,2,10,-10
406,NO 14 @ TB 31,2,-6,6
407,MIN 17 @ DET 20,2,3,-3
408,DAL 37 @ MIA 20,2,-3,3
409,SEA 20 @ ARI 23,2,-3,3
410,NYJ 13 @ BAL 20,2,10,-10
411,OAK 20 @ DEN 23,2,10,-10
412,KC 10 @ CHI 20,2,12,-12
413,SD 14 @ NE 38,2,4,-4
414,WAS 20 @ PHI 12,2,7,-7
415,TEN 7 @ JAC 20,3,-1.5,1.5
416,ATL 24 @ IND 27,3,1,-1
417,BAL 28 @ KC 33,3,4.5,-4.5
418,CIN 17 @ BUF 21,3,5.5,-5.5
419,DEN 16 @ GB 27,3,7,-7
420,DET 27 @ PHI 24,3,4,-4
421,MIA 6 @ DAL 31,3,22,-22
422,NYJ 14 @ NE 30,3,20.5,-20.5
423,OAK 14 @ MIN 34,3,8.5,-8.5
424,CAR 38 @ ARI 20,3,2.5,-2.5
425,NYG 32 @ TB 31,3,5,-5
426,HOU 27 @ LAC 20,3,3,-3
427,NO 33 @ SEA 27,3,5,-5
428,PIT 20 @ SF 24,3,6,-6
429,LAR 20 @ CLE 13,3,-4,4
430,CHI 31 @ WAS 15,3,-5,5
431,NYJ 17 @ CLE 21,3,3,-3
432,BUF 27 @ MIN 6,3,16.5,-16.5
433,CIN 21 @ CAR 31,3,2.5,-2.5
434,DEN 14 @ BAL 27,3,5.5,-5.5
435,GB 17 @ WAS 31,3,-2.5,2.5
436,IND 16 @ PHI 20,3,6.5,-6.5
437,NO 43 @ ATL 37,3,1.5,-1.5
438,NYG 27 @ HOU 22,3,6.5,-6.5
439,OAK 20 @ MIA 28,3,3,-3
440,SF 27 @ KC 38,3,6,-6
441,TEN 9 @ JAC 6,3,10,-10
442,LAC 23 @ LAR 35,3,7.5,-7.5
443,CHI 16 @ ARI 14,3,-6,6
444,DAL 13 @ SEA 24,3,1,-1
445,NE 10 @ DET 26,3,-7,7
446,PIT 30 @ TB 27,3,1,-1
447,LAR 41 @ SF 39,3,-3,3
448,BAL 7 @ JAC 44,3,-3,3
449,ATL 30 @ DET 26,3,-3,3
450,CLE 28 @ IND 31,3,1,-1
451,TB 17 @ MIN 34,3,0,0
452,HOU 33 @ NE 36,3,13.5,-13.5
453,MIA 6 @ NYJ 20,3,-5.5,5.5
454,NYG 24 @ PHI 27,3,5,-5
455,DEN 16 @ BUF 26,3,-3.5,3.5
456,NO 34 @ CAR 13,3,5.5,-5.5
457,PIT 17 @ CHI 23,3,-7,7
458,SEA 27 @ TEN 33,3,2,-2
459,CIN 24 @ GB 27,3,7,-7
460,KC 24 @ LAC 10,3,-3,3
461,OAK 10 @ WAS 27,3,-3.5,3.5
462,DAL 28 @ ARI 17,3,-3,3
463,HOU 0 @ NE 27,3,0,0
464,MIN 22 @ CAR 10,3,6,-6
465,DET 27 @ GB 34,3,8.5,-8.5
466,BAL 19 @ JAC 17,3,-1,1
467,ARI 18 @ BUF 33,3,-5,5
468,OAK 17 @ TEN 10,3,-1.5,1.5
469,CLE 24 @ MIA 30,3,10,-10
470,WAS 29 @ NYG 27,3,3.5,-3.5
471,DEN 29 @ CIN 17,3,3.5,-3.5
472,SF 18 @ SEA 37,3,10.5,-10.5
473,LA 37 @ TB 32,3,3.5,-3.5
474,NYJ 3 @ KC 24,3,3,-3
475,SD 22 @ IND 26,3,1.5,-1.5
476,PIT 3 @ PHI 34,3,-3.5,3.5
477,CHI 17 @ DAL 31,3,6.5,-6.5
478,ATL 45 @ NO 32,3,2.5,-2.5
479,WAS 21 @ NYG 32,3,3,-3
480,SD 14 @ MIN 31,3,2.5,-2.5
481,OAK 27 @ CLE 20,3,3.5,-3.5
482,CIN 28 @ BAL 24,3,2.5,-2.5
483,NO 22 @ CAR 27,3,10,-10
484,ATL 39 @ DAL 28,3,1,-1
485,TB 9 @ HOU 19,3,6,-6
486,IND 35 @ TEN 33,3,-3,3
487,PIT 12 @ STL 6,3,1.5,-1.5
488,JAC 17 @ NE 51,3,14.5,-14.5
489,PHI 24 @ NYJ 17,3,3,-3
490,SF 7 @ ARI 47,3,7,-7
491,CHI 0 @ SEA 26,3,16.5,-16.5
492,BUF 41 @ MIA 14,3,1,-1
493,DEN 24 @ DET 12,3,-3,3
494,KC 28 @ GB 38,3,4.5,-4.5
495,TB 14 @ ATL 56,3,6.5,-6.5
496,SD 22 @ BUF 10,3,2.5,-2.5
497,DAL 34 @ STL 31,3,-1.5,1.5
498,WAS 34 @ PHI 37,3,4,-4
499,HOU 17 @ NYG 30,3,1,-1
500,MIN 9 @ NO 20,3,10,-10
501,TEN 7 @ CIN 33,3,6.5,-6.5
502,BAL 23 @ CLE 21,3,-2,2
503,GB 7 @ DET 19,3,1.5,-1.5
504,IND 44 @ JAC 17,3,-6,6
505,OAK 9 @ NE 16,3,14,-14
506,SF 14 @ ARI 23,3,-3,3
507,DEN 20 @ SEA 26,3,4,-4
508,KC 34 @ MIA 15,3,6,-6
509,PIT 37 @ CAR 19,3,3,-3
510,CHI 27 @ NYJ 19,3,1.5,-1.5
511,KC 26 @ PHI 16,3,3,-3
512,HOU 9 @ BAL 30,3,1,-1
513,DET 27 @ WAS 20,3,-1,1
514,SD 17 @ TEN 20,3,3,-3
515,ARI 7 @ NO 31,3,8,-8
516,TB 3 @ NE 23,3,7.5,-7.5
517,CLE 31 @ MIN 27,3,7,-7
518,NYG 0 @ CAR 38,3,-1,1
519,GB 30 @ CIN 34,3,-3,3
520,STL 7 @ DAL 31,3,3.5,-3.5
521,ATL 23 @ MIA 27,3,3,-3
522,BUF 20 @ NYJ 27,3,2.5,-2.5
523,JAC 17 @ SEA 45,3,19.5,-19.5
524,IND 27 @ SF 7,3,10.5,-10.5
525,CHI 40 @ PIT 23,3,-2.5,2.5
526,OAK 21 @ DEN 37,3,16,-16
527,NYG 36 @ CAR 7,3,2.5,-2.5
528,STL 6 @ CHI 23,3,7,-7
529,CIN 38 @ WAS 31,3,3,-3
530,DET 41 @ TEN 44,3,-3.5,3.5
531,KC 27 @ NO 24,3,9,-9
532,SF 13 @ MIN 24,3,-6.5,6.5
533,NYJ 23 @ MIA 20,3,-2.5,2.5
534,BUF 24 @ CLE 14,3,-2.5,2.5
535,TB 10 @ DAL 16,3,7,-7
536,JAC 22 @ IND 17,3,3,-3
537,ATL 27 @ SD 3,3,3,-3
538,PHI 6 @ ARI 27,3,-3,3
539,PIT 31 @ OAK 34,3,-3.5,3.5
540,HOU 31 @ DEN 25,3,-1,1
541,NE 30 @ BAL 31,3,2.5,-2.5
542,GB 12 @ SEA 14,3,-3,3
543,SF 13 @ CIN 8,3,2,-2
544,NE 31 @ BUF 34,3,-7,7
545,HOU 33 @ NO 40,3,3,-3
546,NYG 29 @ PHI 16,3,8,-8
547,MIA 16 @ CLE 17,3,-2,2
548,DEN 14 @ TEN 17,3,7,-7
549,DET 26 @ MIN 23,3,-3,3
550,JAC 10 @ CAR 16,3,3,-3
551,KC 17 @ SD 20,3,14,-14
552,NYJ 24 @ OAK 34,3,-3,3
553,BAL 37 @ STL 7,3,-5,5
554,ATL 13 @ TB 16,3,1,-1
555,ARI 10 @ SEA 13,3,-3,3
556,GB 27 @ CHI 17,3,-4,4
557,PIT 23 @ IND 20,3,-10.5,10.5
558,WAS 16 @ DAL 18,3,3.5,-3.5
559,TEN 29 @ NYG 10,3,3,-3
560,BUF 30 @ NE 38,3,15,-15
561,CLE 17 @ BAL 24,3,13,-13
562,PIT 38 @ TB 13,3,-3,3
563,CIN 20 @ CAR 7,3,-3,3
564,ATL 27 @ NO 24,3,3,-3
565,SF 10 @ KC 31,3,-3,3
566,DET 10 @ MIN 24,3,13,-13
567,DAL 27 @ HOU 13,3,3,-3
568,WAS 16 @ STL 30,3,-5,5
569,PHI 28 @ JAC 3,3,-3,3
570,IND 27 @ DEN 13,3,-6,6
571,SD 20 @ SEA 27,3,-4,4
572,OAK 23 @ ARI 24,3,6,-6
573,NYJ 31 @ MIA 23,3,2,-2
574,GB 17 @ CHI 20,3,-3,3
575,TEN 17 @ NYJ 24,3,1,-1
576,JAC 31 @ HOU 24,3,4,-4
577,KC 14 @ PHI 34,3,8,-8
578,CLE 3 @ BAL 34,3,8,-8
579,NYG 24 @ TB 0,3,4,-4
580,WAS 14 @ DET 19,3,4,-4
581,GB 36 @ STL 17,3,-7,7
582,SF 24 @ MIN 27,3,-4,4
583,ATL 10 @ NE 26,3,-4,4
584,CHI 25 @ SEA 19,3,4,-4
585,NO 27 @ BUF 7,3,4,-4
586,MIA 13 @ SD 23,3,-4,4
587,PIT 20 @ CIN 23,3,4,-4
588,DEN 23 @ OAK 3,3,4,-4
589,IND 31 @ ARI 10,3,3,-3
590,CAR 7 @ DAL 21,3,9,-9
591,KC 14 @ ATL 38,3,6,-6
592,OAK 23 @ BUF 24,3,10,-10
593,HOU 12 @ TEN 31,3,5,-5
594,CIN 23 @ NYG 26,3,13,-13
595,ARI 17 @ WAS 24,3,3,-3
596,MIA 38 @ NE 13,3,13,-13
597,TB 27 @ CHI 24,3,3,-3
598,CAR 10 @ MIN 20,3,3,-3
599,STL 13 @ SEA 37,3,8,-8
600,DET 13 @ SF 31,3,5,-5
601,NO 32 @ DEN 34,3,6,-6
602,PIT 6 @ PHI 15,3,4,-4
603,JAC 23 @ IND 21,3,4,-4
604,CLE 10 @ BAL 28,3,3,-3
605,DAL 27 @ GB 16,3,-3,3
606,NYJ 29 @ SD 48,3,8,-8
607,IND 30 @ HOU 24,3,-7,7
608,SD 24 @ GB 31,3,-6,6
609,MIN 10 @ KC 13,3,3,-3
610,DET 21 @ PHI 56,3,5,-5
611,BUF 7 @ NE 38,3,17,-17
612,MIA 28 @ NYJ 31,3,3,-3
613,ARI 23 @ BAL 26,3,7,-7
614,STL 3 @ TB 24,3,4,-4
615,SF 16 @ PIT 37,3,10,-10
616,JAC 23 @ DEN 14,3,4,-4
617,CIN 21 @ SEA 24,3,3,-3
618,CLE 24 @ OAK 26,3,3,-3
619,CAR 27 @ ATL 20,3,-4,4
620,NYG 24 @ WAS 17,3,4,-4
621,DAL 34 @ CHI 10,3,3,-3
622,TEN 31 @ NO 14,3,5,-5
623,PHI 34 @ GB 27,4,3.5,-3.5
624,CAR 16 @ HOU 10,4,5.5,-5.5
625,CLE 40 @ BAL 25,4,7.5,-7.5
626,KC 34 @ DET 30,4,-7.5,7.5
627,LAC 30 @ MIA 10,4,-15,15
628,NE 16 @ BUF 10,4,-7,7
629,OAK 31 @ IND 24,4,5.5,-5.5
630,TEN 24 @ ATL 10,4,3.5,-3.5
631,WAS 3 @ NYG 24,4,3,-3
632,SEA 27 @ ARI 10,4,-5.5,5.5
633,TB 55 @ LAR 40,4,9,-9
634,JAC 26 @ DEN 24,4,2.5,-2.5
635,MIN 6 @ CHI 16,4,-1,1
636,DAL 10 @ NO 12,4,-2.5,2.5
637,CIN 3 @ PIT 27,4,3.5,-3.5
638,MIN 31 @ LAR 38,4,7.5,-7.5
639,BUF 0 @ GB 22,4,8.5,-8.5
640,CIN 37 @ ATL 36,4,3.5,-3.5
641,DET 24 @ DAL 26,4,2.5,-2.5
642,HOU 37 @ IND 34,4,-1,1
643,MIA 7 @ NE 38,4,6.5,-6.5
644,NYJ 12 @ JAC 31,4,7.5,-7.5
645,PHI 23 @ TEN 26,4,-3,3
646,TB 10 @ CHI 48,4,3,-3
647,CLE 42 @ OAK 45,4,2.5,-2.5
648,SEA 20 @ ARI 17,4,-3.5,3.5
649,NO 33 @ NYG 18,4,-3.5,3.5
650,SF 27 @ LAC 29,4,10,-10
651,BAL 26 @ PIT 14,4,3,-3
652,KC 27 @ DEN 23,4,-3.5,3.5
653,CHI 14 @ GB 35,4,7.5,-7.5
654,NO 20 @ MIA 0,4,-4,4
655,TEN 14 @ HOU 57,4,-2.5,2.5
656,DET 14 @ MIN 7,4,2.5,-2.5
657,CAR 33 @ NE 30,4,9,-9
658,JAC 20 @ NYJ 23,4,-4,4
659,BUF 23 @ ATL 17,4,8,-8
660,PIT 26 @ BAL 9,4,-3.5,3.5
661,CIN 31 @ CLE 7,4,-3,3
662,LAR 35 @ DAL 30,4,5,-5
663,SF 15 @ ARI 18,4,6.5,-6.5
664,PHI 26 @ LAC 24,4,1.5,-1.5
665,NYG 23 @ TB 25,4,2.5,-2.5
666,OAK 10 @ DEN 16,4,3.5,-3.5
667,IND 18 @ SEA 46,4,12.5,-12.5
668,WAS 20 @ KC 29,4,6.5,-6.5
669,MIA 7 @ CIN 22,4,7.5,-7.5
670,IND 27 @ JAC 30,4,1,-1
671,BUF 16 @ NE 0,4,3.5,-3.5
672,SEA 27 @ NYJ 17,4,-1,1
673,DET 14 @ CHI 17,4,-3,3
674,CAR 33 @ ATL 48,4,-2.5,2.5
675,OAK 28 @ BAL 27,4,3.5,-3.5
676,TEN 20 @ HOU 27,4,4,-4
677,CLE 20 @ WAS 31,4,7.5,-7.5
678,DEN 27 @ TB 7,4,-3.5,3.5
679,LA 17 @ ARI 13,4,10,-10
